exmp_name,sex,lab,strain,value,eslim_id,parameter_name
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014201681,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007635135,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015255474,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013900709,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012377358,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008020833,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.02164557,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.018742857,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016013986,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017250755,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017826087,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.027070064,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008282209,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017147887,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007353952,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009317406,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007876448,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007864078,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011550388,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006177474,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013654618,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015373665,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007698745,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016233766,ESLIM_005_001_701,BMC/Body weight
